ZPL3000844,PIZZA MY HEART,01534992,235 PRIMROSE RD,BURLINGAME,CA,US,71
ZPL300085Z,FATBURGER,03379146,1223 UNIVERSITY AVE STE 120,RIVERSIDE,CA,US,71
ZPL300086U,BURGER KING,02716313,1955 N ST,NEWMAN,CA,US,71
ZPL300087P,FUDDRUCKERS,03854345,5500 GROSSMONT CENTER DR,LA MESA,CA,US,71
ZPL300088K,DAIRY QUEEN GRILL N CHILL,04808520,7700 NORMANDALE BLVD,EDINA,MN,US,71
ZPL300089F,BURGER KING,09204011,615 OLD WINNFIELD RD,JONESBORO,LA,US,71
ZPL300090H,PEI WEI ASIAN DINER,07276945,5285 E BROADWAY BLVD STE 151,TUCSON,AZ,US,71
ZPL300091C,FUDDRUCKER,05813374,2947 PRESTON RD,FRISCO,TX,US,71
ZPL3000927,PORT OF SUBS,03870388,10260 W CHARLESTON BLVD STE 2,LAS VEGAS,NV,US,71
ZPL3000932,FUDDRUCKERS,03992039,8285 MIRA MESA BLVD,SAN DIEGO,CA,US,71
ZPL300094X,PORT OF SUBS,05307036,3570 S VAL VISTA DR STE 111,GILBERT,AZ,US,71
ZPL300095S,7 ELEVEN,01342412,1775 BLAKE ST,DENVER,CO,US,71
ZPL300096N,PEI WEI ASIAN DINER,01449407,1730 N FEDERAL HWY,FORT LAUDERDALE,FL,US,71
ZPL300097I,PEI WEI ASIAN DINER,03889616,8787 N SCOTTSDALE RD,SCOTTSDALE,AZ,US,71
ZPL300098D,BURGER KING,05274923,1727 E PLATTE AVE,COLORADO SPRINGS,CO,US,71
ZPL3000998,FUDDRUCKERS,03992039,8285 MIRA MESA BLVD,SAN DIEGO,CA,US,71
ZPL300100V,7 ELEVEN,02017377,6302 E 72ND AVE,COMMERCE CITY,CO,US,71
ZPL300101Q,PEI WEI ASIAN DINER,07276945,5285 E BROADWAY BLVD STE 151,TUCSON,AZ,US,71
ZPL300102L,FUDDRUCKERS,02743884,13010 NORTHWEST FWY,HOUSTON,TX,US,71
ZPL300103G,FUDDRUCKERS,05811703,3421 N EAGLE RD,MERIDIAN,ID,US,71
ZPL300104B,PORT OF SUBS,08749693,6572 N DECATUR BLVD STE 130,LAS VEGAS,NV,US,71
ZPL3001056,PEI WEI ASIAN DINER,04859893,20022 N 67TH AVE STE 100,GLENDALE,AZ,US,71
ZPL3001061,FUDDRUCKERS,05811703,3421 N EAGLE RD,MERIDIAN,ID,US,71
ZPL300107W,FUDDRUCKERS,02743884,13010 NORTHWEST FWY,HOUSTON,TX,US,71
ZPL300108R,PORT OF SUBS,05343059,1075 N 51ST AVE STE 101,PHOENIX,AZ,US,71
ZPL300109M,BURGER KING,02476228,520 E 58TH AVE,DENVER,CO,US,71
ZPL300111J,FUDDRUCKERS,04624675,1612 AIRPORT FWY,BEDFORD,TX,US,71
ZPL300112E,DAIRY QUEEN GRILL N CHILL,04808520,7700 NORMANDALE BLVD,EDINA,MN,US,71
ZPL3001139,PORT OF SUBS,09824206,6080 W BADURA AVE,LAS VEGAS,NV,US,71
ZPL3001144,FUDDRUCKERS,04624675,1612 AIRPORT FWY,BEDFORD,TX,US,71
ZPL300115Z,GODFATHERS PIZZA,07729731,7920 S 84TH ST,LAVISTA,NE,US,71
ZPL300116U,COCA-COLA BOTTLING,06732275,7400 N OAK PARK AVE,NILES,IL,US,71
ZPL300117P,THE BURGER JOINT,01447776,6250 COLUMBIA CROSSING CIR,COLUMBIA,MD,US,71
ZPL300118K,PORT OF SUBS,06782388,729 W LACEY BLVD STE 2,HANFORD,CA,US,71
ZPL300120H,BUILT,01605233,3584 S FIGUEROA ST STE 4,LOS ANGELES,CA,US,71
ZPL300121C,PORT OF SUBS,09023194,1541 E NOBLE AVE,VISALIA,CA,US,71
ZPL3001227,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,71
ZPL3001232,PEI WEI ASIAN DINER,01619948,4114 SEPULVEDA BLVD STE E,CULVER CITY,CA,US,71
ZPL300124X,PEI WEI ASIAN DINER,01405300,18801-B BISCAYNE BLVD,AVENTURA,FL,US,71
ZPL300126N,PORT OF SUBS,01573063,2900 CLEAR ACRE LN STE U,RENO,NV,US,71
ZPL300128D,FUDDRUCKERS,00113420,50 WALKERS BROOK DR,READING,MA,US,71
ZPL3001298,THE BURGER JOINT,01379852,1514 CONNECTICUT AVE NW,WASHINGTON,DC,US,71
ZPL300130A,FUDDRUCKERS,03978061,4360 KINGWOOD DR,KINGWOOD,TX,US,71
ZPL3001315,BURGER KING,01465129,4125 BALL RD NE,CIRCLE PINES,MN,US,71
ZPL3001320,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,71
ZPL300133V,U OF A CELLAR BISTRO,05303244,1303 E UNIVERSITY BLVD,TUCSON,AZ,US,71
ZPL300134Q,OUTBACK STEAKHOUSE,01550360,16510 SOUTHCENTER PKWY,SEATTLE,WA,US,71
ZPL300135L,FUDDRUCKER,05813374,2947 PRESTON RD,FRISCO,TX,US,71
ZPL300136G,FUDDRUCKERS,05770726,7250 HIGHWAY 6 N,HOUSTON,TX,US,71
ZPL300137B,FUDDRUCKERS,01019074,17815 65TH AVE,LAKE OSWEGO,OR,US,71
