machine,ZPL300073G,GO ROMA,08879872,635 E BOUGHTON RD UNIT 705,BOLINGBROOK,IL,US,41.719408,-88.046633
machine,ZPL300074B,BURGER KING,01544396,1933 N TOWN EAST BLVD,MESQUITE,TX,US,32.811011,-96.629493
machine,ZPL3000756,PEI WEI ASIAN DINER,01404025,1021 N ELMHURST RD,MOUNT PROSPECT,IL,US,42.08388,-87.936883
machine,ZPL3000761,FUDDRUCKERS,03854345,5500 GROSSMONT CENTER DR,LA MESA,CA,US,32.779058,-117.008089
machine,ZPL300077W,FUDDRUCKERS,01255792,1940 N MAIN ST,WALNUT CREEK,CA,US,37.905578,-122.063944
machine,ZPL300078R,PEI WEI ASIAN DINER,01442918,6159 N KEYSTONE AVE STE 100,INDIANAPOLIS,IN,US,39.867848,-86.122155
machine,ZPL300081J,PORT OF SUBS,08886487,4731 GALLERIA PKWY STE 101,SPARKS,NV,US,39.560462,-119.735648
machine,ZPL300082E,FUDDRUCKERS,04516885,1975 DIAMOND BLVD STE E260,CONCORD,CA,US,37.970078,-122.054635
machine,ZPL3000839,WAWA FOOD MARKET,09316617,5008 PENNELL RD,CHESTER,PA,US,39.846741,-75.37821
machine,ZPL3000844,PIZZA MY HEART,01534992,235 PRIMROSE RD,BURLINGAME,CA,US,37.577053,-122.347228
machine,ZPL300085Z,FATBURGER,03379146,1223 UNIVERSITY AVE STE 120,RIVERSIDE,CA,US,33.975768,-117.337837
machine,ZPL300086U,BURGER KING,02716313,1955 N ST,NEWMAN,CA,US,37.310242,-121.019414
machine,ZPL300087P,FUDDRUCKERS,03854345,5500 GROSSMONT CENTER DR,LA MESA,CA,US,32.779058,-117.008089
machine,ZPL300088K,DAIRY QUEEN GRILL N CHILL,04808520,7700 NORMANDALE BLVD,EDINA,MN,US,44.896797,-93.35058
machine,ZPL300089F,BURGER KING,09204011,615 OLD WINNFIELD RD,JONESBORO,LA,US,32.239932,-92.711066
machine,ZPL300090H,PEI WEI ASIAN DINER,07276945,5285 E BROADWAY BLVD STE 151,TUCSON,AZ,US,32.221656,-110.87965
machine,ZPL300091C,FUDDRUCKER,05813374,2947 PRESTON RD,FRISCO,TX,US,33.103106,-96.805411
machine,ZPL3000927,PORT OF SUBS,03870388,10260 W CHARLESTON BLVD STE 2,LAS VEGAS,NV,US,36.159036,-115.317611
